text_id	filename	Adjp_ac	Adjp_da	Adjp_ge	Adjp_nm	Advp	Cl	Cl_c	Cl_o	Cl_q	Cl_r	Cl_ri	Cl_t	L_Adjp_ac	L_Adjp_da	L_Adjp_ge	L_Adjp_nm	L_Advp	L_Cl	L_Cl_c	L_Cl_o	L_Cl_q	L_Cl_r	L_Cl_ri	L_Cl_t	L_Np_ac	L_Np_da	L_Np_ge	L_Np_nm	L_Pou_np	L_Pp	L_Vg	L_Vg_g	L_Vg_s	Np_ac	Np_da	Np_ge	Np_nm	Pou_np	Pp	Vg	Vg_g	Vg_s
0001	0001.chunk	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	1.0	0	0	1.8	0	0	1.0	0	0	3	0	0	5	0	0	4	0	0
0002	0002.chunk	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2.3333333333333335	0	0	0	0	0	0	2.0	0	1.0	1.0	0	0	1.0	0	0	1	0	1	1	0	0	3	0	0
0003	0003.chunk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0004	0004.chunk	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	1.6666666666666667	0	0	1.0	0	0	0	0	0	3	0	0	1	0	0
0005	0005.chunk	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3.0	4.666666666666667	0	0	0	0	0	0	1.5	0	1.0	2.0	0	2.0	1.0	0	0	2	0	1	3	0	1	3	0	0
0006	0006.chunk	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	1.0	0	1.0	1.0	0	2.0	1.0	0	0	6	0	2	2	0	1	4	0	0
0007	0007.chunk	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3.0	0	0	4.0	0	0	0	1.25	0	1.0	1.0	0	0	1.6666666666666667	0	0	4	0	1	1	0	0	3	0	0
0008	0008.chunk	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1.0	5.0	0	0	4.0	0	0	0	2.0	0	0	2.0	0	3.0	1.0	0	0	2	0	0	1	0	1	2	0	0
0009	0009.chunk	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	4.0	0	0	3.5	0	0	0	1.0	0	0	1.6666666666666667	0	2.0	1.0	0	0	2	0	0	3	0	2	4	0	0
0010	0010.chunk	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1.0	0	4.0	0	0	0	0	0	0	0	0	2.0	2.3333333333333335	0	0	1.0	0	0	0	0	1	3	0	0	3	0	0
0011	0011.chunk	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5.0	0	0	4.0	0	0	0	1.5	0	0	2.0	0	0	1.0	0	0	2	0	0	2	0	0	2	0	0
0012	0012.chunk	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3.0	0	0	3.0	0	0	0	1.0	0	0	1.5	0	0	1.0	0	0	1	0	0	2	0	0	2	0	0
0013	0013.chunk	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3.5	6.5	0	0	0	0	0	0	1.5	0	0	2.0	0	2.5	1.0	0	0	2	0	0	2	0	2	2	0	0
0014	0014.chunk	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	0	1	0	0	1	0	0
0015	0015.chunk	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4.333333333333333	0	0	0	0	0	0	1.0	0	1.0	1.6666666666666667	0	0	1.0	0	0	4	0	2	3	0	0	3	0	0
0016	0016.chunk	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2.0	0	2.0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	2.0	0	0	1	0	0	0	1	0	1
0017	0017.chunk	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2.0	0	5.0	0	0	0	0	2.0	0	1.0	0	0	3.0	1.0	0	2.0	1	0	1	0	0	1	1	0	1
0018	0018.chunk	1	0	0	0	2	2	0	2	2	0	0	0	1.0	0	0	0	1.0	1.5	0	3.0	3.0	0	0	0	2.0	0	0	1.0	0	3.0	1.0	0	2.0	2	0	0	2	0	1	4	0	2
0019	0019.chunk	0	0	0	0	16	9	0	0	9	0	0	0	0	0	0	0	1.0	5.666666666666667	0	0	4.888888888888889	0	0	0	2.0	0	0	1.696969696969697	0	0	1.0	0	0	1	0	0	33	0	0	18	0	0
0020	0020.chunk	1	0	0	4	9	10	0	0	2	0	0	0	1.0	0	0	1.0	1.0	4.7	0	0	4.0	0	0	0	2.0	0	0	1.8571428571428572	0	3.0	1.1666666666666667	0	0	2	0	0	14	0	1	12	0	0
0021	0021.chunk	0	0	0	0	7	3	0	0	3	0	0	0	0	0	0	0	2.5714285714285716	4.333333333333333	0	0	5.666666666666667	0	0	0	1.75	0	0	1.75	0	2.75	1.1666666666666667	0	0	4	0	0	4	0	4	6	0	0
0022	0022.chunk	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	1.0	1.0	2.0	0	0	0	0	0	0	2.0	0	0	1.5714285714285714	0	0	1.0	0	0	2	0	0	7	0	0	4	0	0
0023	0023.chunk	2	0	0	0	0	1	0	0	0	0	0	0	1.0	0	0	0	0	4.0	0	0	0	0	0	0	2.3333333333333335	0	0	0	0	0	1.0	0	0	3	0	0	0	0	0	1	0	0
0024	0024.chunk	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1.0	0	0	0	2.0	0	0	0	1.0	0	0	2.0	0	2.0	1.0	0	0	1	0	0	1	0	1	1	0	0
0025	0025.chunk	0	0	0	0	1	5	0	3	0	0	0	0	0	0	0	0	4.0	3.4	0	3.0	0	0	0	0	1.2	0	1.0	1.75	0	2.5	1.0	0	2.0	5	0	3	4	0	2	5	0	3
0026	0026.chunk	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1.0	2.6666666666666665	0	0	0	0	0	0	3.0	0	0	0	0	0	1.3333333333333333	0	0	1	0	0	0	0	0	3	0	0
0027	0027.chunk	2	0	0	2	0	2	0	0	1	0	0	0	1.5	0	0	1.0	0	3.5	0	0	2.0	0	0	0	1.8333333333333333	0	0	1.5	0	0	1.0	0	0	6	0	0	4	0	0	3	0	0
0028	0028.chunk	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	2.0	3.25	0	2.0	0	0	0	0	1.0	0	0	1.75	0	2.0	1.0	0	2.0	2	0	0	4	0	1	4	0	1
0029	0029.chunk	5	0	0	0	0	1	0	0	1	0	0	0	1.0	0	0	0	0	27.0	0	0	4.0	0	0	0	2.125	0	0	2.25	0	0	1.0	0	0	8	0	0	4	0	0	2	0	0
